"","score","text"
"70",0,"@ManojTiwariMP @narendramodi @SushmaSwaraj @BJP4India @BJP4Delhi @passportsevamea @rpodelhi @MEAIndia @MEAQuery… https://t.co/QwDtBH7bP8"
"71",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"72",-1,"Leaders of @BJP4Bihar 1st claimed #ManojBaitha had no connection with party later Its Senior leaders retreated back… https://t.co/bMyu4OM5yd"
"73",0,"@pankajmishra23 Why can't you submit your evidence against @BJP4India and its leaders to Police or Court?  Second q… https://t.co/vs5FNau8bd"
"74",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"75",0,"RT @DaharwalK: @BJP4India Govt in centre is 2014-19
BJP President Promising to Make ""Pucca House"" For All by
2022
#KyaUlluBanaya <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087> http…"
"76",0,"RT @BJP4India: Live - Shri @AmitShah's interaction with sugarcane farmers in Humnabad, Karnataka. @BJP4Karnataka https://t.co/oUrspEY08l"
"77",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"78",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"79",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"80",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"81",0,"@rsprasad 
@narendramodi
@rashtrapatibhvn
@BJP4India
@INCIndia
@republic
@ZeeNews
@SIFKtka

We need Anti-poisoning… https://t.co/RHo8AhlVx2"
"82",0,"Why we give you vote in 2k19?
@PMOIndia  @AmitShah  @sambitswaraj  @rajnathsingh  @arunjaitley   @SushmaSwaraj  @BJP4India  @BJP4Delhi  @bjp"
"83",0,"Somebody please answer this @DrGPradhan @narendramodi @BJP4India @Shehzad_Ind. It is truth but 15 lakhs + interest… https://t.co/NFAgE8QHJh"
"84",-2,"@SwatiJaiHind Killing 9 children is a petty crime by another @BJP4India neta, had this neta hit any Cabinet Secreta… https://t.co/x4vd2efivK"
"85",0,"RT @ShahnawazBJP: Met our BJP National President @AmitShah ji in the new @BJP4India Head Office. Admire him for the way BJP has grown expon…"
"86",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"87",-1,"RT @priyaakulkarni2: Despite of a lengthy tenure Congress failed to fulfill basic requirement
@BJP4India is far efficient than you, as u li…"
"88",0,"RT @BJP4India: Shri @AmitShah interacts with leaders of OBC community in Gulbarga, Karnataka. #ShahInKalyanaKarnataka https://t.co/lVfU8n0A…"
"89",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"90",0,"@AamAadmiParty Means intrested for revenue only .. why can't you act to ban  liquor..@CNNnews18 @AashishKhetan @BJP4India @ManojTiwariMP"
"91",1,"End of the day it is about unbiased content. Only that can be sustained over medium-long term. @ndtv is more… https://t.co/tsxMheQpUO"
"92",0,"@narendramodi @AmitShah @BJP4India This Nautanki by the first lady of Maharashtra @fadnavis_amruta and her husband… https://t.co/8ManCbS0IZ"
"93",0,"RT @MODIfiedMayank: @ManojTiwariMP @narendramodi @SushmaSwaraj @BJP4India @BJP4Delhi @passportsevamea @rpodelhi @MEAIndia @MEAQuery @PMOInd…"
"94",1,"RT @BJP4India: If you see around the globe, there are very few countries where you have three important factors of economy together. They a…"
"95",-1,"RT @vinaysreeni: Dear @BJP4India @INCIndia @NandanNilekani @SitaramYechury you are all complicit in allowing #Aadhaar to create hunger! #Aa…"
"96",0,"@Saichandkoduru @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty Every one has… https://t.co/gDU43RF0qK"
"97",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"98",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"99",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"100",0,"@ManojTiwariMP @narendramodi @SushmaSwaraj @BJP4India @BJP4Delhi @passportsevamea @rpodelhi @MEAIndia @MEAQuery… https://t.co/8Ak7rftYDc"
"101",1,"@SMedia4 @mediacrooks @BJP4India @malviyamit @sambitswaraj @byadavbjp @AmitShah Modi and Shah knows they could win… https://t.co/x8piNTJ0tf"
"102",0,"@BJP4India occupies Political Hindutva platform so dominantly, that #Shiv_Sena has decided to look for other pastur… https://t.co/WKLA8aEXHb"
"103",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"104",0,"RT @Abhishek__k2712: It's high time for the @BJP4India govt to make clear whether at all they're concerned about the future of students who…"
"105",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"106",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"107",0,"@siddarthsahu1 @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty There is no cun… https://t.co/ZTMFRuRAFl"
"108",0,"RT @BJP4India: We started off with 10 party members and now we are the largest political party in the world with 11 crore party members : S…"
"109",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"110",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"111",0,"RT @das_prashant777: @bjpswati @AnupriyaSPatel 
@narendramodi @BJP4India 
@AmitShah @myogiadityanath 
Let us Work Together on War
Footing H…"
"112",0,"@sagarikaghose @Inc @BJP4India He should be hanged in public"
"113",0,"RT @BJP4India: BJP National President Shri @AmitShah is addressing a press conference in Gulbarga, Karnataka. https://t.co/qKmAP3U6eU"
"114",0,"@Saichandkoduru @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty Can you please… https://t.co/XrQlmeCK8q"
"115",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"116",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"117",-2,"RT @PervezM: @Manjeet64576767 @Khaliharaman @OfficeOfRG @BJP4India It's not fake news, we are not sanghi who are expert in spreading fake n…"
"118",1,"At Karnataka Rally, Amit Shah Mocks, Mimics Rahul Gandhi. - everyone will question your achievements for 4 years Mr… https://t.co/gschVEUwXY"
"119",-1,"RT @sagarikaghose: The @INC MLA's son was rightly condemned for beating up an injured man, will the @BJP4India MLA who killed 9 people be e…"
"120",-1,"RT @ImVeshu: @2000sanju @BJP4India @mygovindia According to medical report there was No sign of sexual assault was found on girl's body in…"
"121",1,"Heartly welcome to Karnatak(Davanageeri) Hon'ble PM Shri Narendra Modiji behalf of Terdal Constituency… https://t.co/feCxM99vKu"
"122",0,"RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…"
"123",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"124",-1,"@abpnewstv @BJP4India @Swamy39 It may be a murder"
"125",-1,"@BJP4India @narendramodi We r also the economy which allows willful defaulters to go scotfree while farmers hang th… https://t.co/DRjc82AVTb"
"126",0,"RT @fightertiger99: @rsprasad @_DigitalIndia @mygovindia @GoI_MeitY @PMOIndia @BJP4India Sir...#AblaNari  is Advantageous taking in the #fa…"
"127",0,"@DeshpandeSudesh @kuchandrablr @BSYBJP @narendramodi @BJP4Karnataka @BJP4India @OfficeOfRG So what <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Does it mean… https://t.co/uTwCRIU3P7"
"128",0,"@ManojTiwariMP @narendramodi @SushmaSwaraj @BJP4India @BJP4Delhi @passportsevamea @rpodelhi @MEAIndia @MEAQuery… https://t.co/Rw9eezdK7T"
"129",0,"RT @nehabhargavecce: @GaneshPratap79 @ChouhanShivraj @BJP4MP @ChitnisArchana @RSSorg @BJP4India @CMMadhyaPradesh @ChitnisArchana @Manekagan…"
"130",0,"RT @DipendraDipzo: @nsitharaman @PMOIndia @BimalGjm @BJP4India 
Sir/Mam.. theres need of total revamp/rejuvenation of teaindustry.  

https…"
"131",0,"RT @abpnewstv: #Sridevi has been murdered, could be Bollywood-underworld links: @BJP4India leader @Swamy39
https://t.co/4GLwWy5zNy"
"132",0,"RT @BJP4India: We are on a de-regulation and de-licensing drive. Validity period of industrial licenses has been increased from three years…"
"133",0,"@DaaruBaazMehta WORRISOME
India BJP AAP

STOP Corrupt Congress

FOOLISH @OfficeOfRG @INCIndia

@ArvindKejriwal @BJP4India @BJPLive"
"134",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"135",1,"RT @BJP4India: I would like to personally invite to India those who are not yet present here. There are very few countries in the world whe…"
"136",0,"@Saichandkoduru @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty Political deci… https://t.co/2vohGq95p4"
"137",0,"@ManojTiwariMP @narendramodi @SushmaSwaraj @BJP4India @BJP4Delhi @passportsevamea @rpodelhi @MEAIndia @MEAQuery… https://t.co/N6Q7vSyYPo"
"138",0,"@kbsvbharat @indiccollective Dear @AmitShah if your @BJP4India party political strategy indeed really is Hindu vote… https://t.co/BKCAfNWbO3"
"139",0,"@abpnewstv @BJP4India @Swamy39 Where ws Dawood?"
"140",-2,"RT @polysmind: Hey @BJP4India @AmitShah
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Thnx for this Satire n a laughter day
#PNBScam #Rotomac blah blah https://t.co/W2dAdPqCrl"
"141",0,"@RaoNarbir @mlkhattar @cmohry @aniljaindr @AmitShahOffice @AmitShah @jawaharyadavbjp @BJP4India @malviyamit… https://t.co/wEUHkXwG7m"
"142",0,"RT @suchetadalal: Is this what @RSSorg and @narendramodi and @BJP4India calls #AchecheDin?? <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> blown my brains that anyone could dream up…"
"143",1,"RT @BJP4India: I urged the scientific community to deliberate on how Artificial Intelligence could help us make life easier for farmers, di…"
"144",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"145",-1,"@Pakiterrorist1 @sagarikaghose @Inc @BJP4India No matter if theyre from INC or BJP if they commit a crime, they nee… https://t.co/fbYQhxBs7H"
"146",0,"RT @mallikarjun456: @sagarikaghose @Inc @BJP4India Aunty
<ed><U+00A0><U+00BC><ed><U+00B8><U+00B2>There is always self interest behind every friendship, there is no friendship wit…"
"147",0,"RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…"
"148",0,"RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…"
"149",2,"RT @BJP4India: I admire the spirit of entrepreneurship of the Korean people. I admire the way in which they have created and sustained thei…"
"150",-1,"@ndtv The low turnout might worry @BJP4India"
"151",1,"@siddarthsahu1 @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty Without proven… https://t.co/ET4kBlB9CZ"
"152",0,"RT @BJP4India: While total funds allocated to Karnataka by Modi government stand at a whopping approximately Rs. 3.36 lakh crore, the Sidda…"
"153",0,"RT @amitranabjp: We'll make a New India

@narendramodi 
@SanjayTandonBJP 
@BJP4India @bjym4chd @Rakesh25182 https://t.co/6dN8mXNplb"
"154",0,"@Pakiterrorist1 @sagarikaghose @Inc @BJP4India What? So your response to this is salman khan? Really? ""Whataboutism… https://t.co/semn7ggIlz"
"155",-1,"RT @NewsX: In my opinion, it’s a murder: BJP MP Subramanian Swamy on Sridevi’s demise
#SrideviDeathMystery #Sridevi @Swamy39 @BJP4India @sw…"
"156",-2,"@BJP4India @DrTamilisaiBJP @AmitShah Always spewing lies. Nothing done till now. pakoda employment, increase in far… https://t.co/LfOFQ5dIJC"
"157",-2,"@KirtiAzadMP @NitishKumar @SushilModi @BJP4India u shld feel shame in talking such trash abt others children. what… https://t.co/NFbiXb0b3e"
"158",0,"RT @Abhishek__k2712: It's high time for the @BJP4India govt to make clear whether at all they're concerned about the future of students who…"
"159",0,"RT @BJP4India: We are on a de-regulation and de-licensing drive. Validity period of industrial licenses has been increased from three years…"
"160",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"161",0,"RT @BJP4India: While total funds allocated to Karnataka by Modi government stand at a whopping approximately Rs. 3.36 lakh crore, the Sidda…"
"162",0,"@sagarikaghose @Inc @BJP4India Nation wants to know ....where is Arnab go swami..."
"163",0,"@noconversion @BJP4India @sambitswaraj Perhaps this is BJP's 2nd innings job to stop turist missionaries."
"164",0,"#Ludhiana MC Elections: @INCIndia Sweeps Polls, Wins on 62 Wards; @BJP4India -SAD on 21
#India #Punjab @OfficeOfRG… https://t.co/xLI7UArPKn"
"165",0,"@BJP4India @narendramodi @sambitswaraj @AskAnshul @AsYouNotWish @republic  Dear Indians please raise your voice and… https://t.co/FFui79wKgd"
"166",0,"RT @siddaramaiah: PM @narendramodi loves to talk of corruption in administrations of the past &amp; of states not ruled by  @BJP4India 

Sir, i…"
"167",-1,"RT @priyaakulkarni2: Despite of a lengthy tenure Congress failed to fulfill basic requirement
@BJP4India is far efficient than you, as u li…"
"168",-1,"Language wars: Students protest at IIT Madras campus after Sanskrit prayer sung instead of Tamil
#IITMadras… https://t.co/q5ok2M7Kdq"
"169",-1,"RT @sagarikaghose: The @INC MLA's son was rightly condemned for beating up an injured man, will the @BJP4India MLA who killed 9 people be e…"
"170",1,"RT @BJP4India: If you see around the globe, there are very few countries where you have three important factors of economy together. They a…"
"171",0,"RT @BJP4India: We are on a de-regulation and de-licensing drive. Validity period of industrial licenses has been increased from three years…"
"172",0,"RT @Sunny060893: #sscscam @ndtv @PMOIndia @narendramodi @Congres  @BJP4India corruption in competitive exams is the root cause of corruptio…"
"173",0,"@siddaramaiah @narendramodi @BJP4India Might be sanghvi family involved.."
"174",0,"RT @BJP4India: From Princess to Poetry and from Buddha to Bollywood; India &amp; Korea have so much in common : PM @narendramodi - Watch at htt…"
"175",1,"RT @BJP4India: If you see around the globe, there are very few countries where you have three important factors of economy together. They a…"
"176",1,"@sagarikaghose @Inc @BJP4India Condemn? He should be convicted. As much as i believe that people like you are going… https://t.co/LHnzjMuhyU"
"177",1,"RT @BJP4India: Our party does not win due to big leaders but because of booth karyakartas : Shri @AmitShah https://t.co/RafdyVtfDg"
"178",0,"RT @KPadmaRani1: @vijay_gup @vikascongress @BJP4India @ManojMehtamm @kaur0211 @pawanjhawat @geetv79 @jaijaicongress @AntiBjpIndia @INCIndia…"
"179",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"180",-1,"@INCIndia There were several rape cases against @OfficeOfRG . Can you update status? @BJP4India  @AmitShah @CMofKarnataka"
"181",0,"@Saichandkoduru @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty Without cases… https://t.co/1N5K1mt7jG"
"182",1,"RT @BJP4India: I would like to personally invite to India those who are not yet present here. There are very few countries in the world whe…"
"183",0,"RT @amritabhinder: Here is the first Arab #PadmaShri @NoufMarwaai in my car and is now a @BJP4India fan :)<U+2764><U+FE0F>

Already she’s PM @narendramod…"
"184",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"185",0,"RT @mallikarjun456: @sagarikaghose @Inc @BJP4India Aunty
<ed><U+00A0><U+00BC><ed><U+00B8><U+00B2>There is always self interest behind every friendship, there is no friendship wit…"
"186",0,"#Defaulters invested the default amount in purchasing benami properties and also slowed down the recovery process b… https://t.co/dDhvNcqMVD"
"187",0,"RT @BJP4India: From Princess to Poetry and from Buddha to Bollywood; India &amp; Korea have so much in common : PM @narendramodi - Watch at htt…"
"188",0,"RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…"
"189",-1,"@sagarikaghose @Inc @BJP4India This venomous woman may not understand the difference between 'The attempt  to murde… https://t.co/FWY7JquIxH"
"190",-2,"With Fake promises in 2014 the #fake @BJP4Meghalaya thinks they can stall the 33% women reservation? The wrath of f… https://t.co/29eX6RZNlA"
"191",-1,"RT @sagarikaghose: The @INC MLA's son was rightly condemned for beating up an injured man, will the @BJP4India MLA who killed 9 people be e…"
"192",0,"#Ludhiana MC Elections: @INCIndia Sweeps Polls, Wins on 62 Wards; @BJP4India -SAD on 21
#India #Punjab @OfficeOfRG… https://t.co/L3yI8Y69Lt"
